nr X Y SPD ISD STB
1 7420541.58 5539243.09 1 1 1
2 7420544.94 5539242.99 1 2 1
3 7420545.13 5539249.04 1 3 1
4 7420546.49 5539250.47 1 4 1
5 7420547.91 5539250.95 1 5 1
6 7420553.44 5539252.41 1 6 1
7 7420559.79 5539253.55 1 7 1
8 7420569.00 5539254.39 1 8 1
9 7420576.64 5539255.03 1 9 1
10 7420577.93 5539235.85 1 10 1
11 7420568.58 5539234.63 1 11 1
12 7420562.99 5539233.90 1 12 1
13 7420555.16 5539233.87 1 13 1
14 7420539.89 5539233.82 1 14 1

2 7420544.94 5539242.99 1 16 1
3 7420545.13 5539249.04 1 17 1
4 7420546.49 5539250.47 1 18 1
5 7420547.91 5539250.95 1 19 1
6 7420553.44 5539252.41 1 20 1
15 7420554.31 5539242.99 1 21 1

14 7420539.89 5539233.82 1 22 1
1 7420541.58 5539243.09 1 23 1
2 7420544.94 5539242.99 1 24 1
15 7420554.31 5539242.99 1 25 1
13 7420555.16 5539233.87 1 26 1

13 7420555.16 5539233.87 1 27 1 
15 7420554.31 5539242.99 1 28 1
6 7420553.44 5539252.41 1 29 1
7 7420559.79 5539253.55 1 30 1
8 7420569.00 5539254.39 1 31 1
9 7420576.64 5539255.03 1 32 1
10 7420577.93 5539235.85 1 33 1
11 7420568.58 5539234.63 1 34 1
12 7420562.99 5539233.90 1 35 1
